"Timestamp","What country are you working in","What institute/company do you work at","Which of the following roles apply to you?","Which of the following disciplines best applies to your work?","How many years have you worked in research?","If you develop software, who uses it?","If you develop software, is it open source?","Has your code contributed to publication(s)?","If your code has contributed to publication(s), were you acknowledged?","Have you trained researchers?","Which languages do you use?","Which OS do you use at work?","What type of contract do you have?","What is your age?","What is your gender?"
"2018/05/09 9:19:59 am EET","Norway","University of Oslo","I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","More than 20 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","No","Yes","C/C++;Fortran;Python;Unix shell scripts;R;Julia;SQL, scala","Linux;Windows","Permanent","45 - 54","Female"
"2018/05/09 9:23:06 am EET","Norway","University of Oslo","I conduct research","Engineering & technology","1-5 years","Me;My collaborators/colleagues;Other people","All my code is open source","Yes","Yes","Yes","C/C++;Unix shell scripts;Matlab","Linux;Windows","Fixed-term","25 - 34","Male"
"2018/05/09 9:43:29 am EET","Norway","University of Oslo","I conduct research","Biological, mathematical & physical sciences","1-5 years","Me;My collaborators/colleagues","None of my code is open source","Yes","No","No","Python;Matlab","Windows","Fixed-term","25 - 34","Male"
"2018/05/09 9:43:44 am EET","Norway","University of Oslo","I conduct research","Biological, mathematical & physical sciences","1-5 years","Me","All my code is open source","Yes","Yes","No","Fortran;Python;Unix shell scripts","Linux","Fixed-term","25 - 34","Male"
"2018/05/09 9:44:21 am EET","Norway","University of Oslo","I conduct research","Biological, mathematical & physical sciences","6-10 years","Me","All my code is open source","Yes","Yes","No","Matlab","Linux;macOS","postdoc","25 - 34","Male"
"2018/05/09 9:59:11 am EET","Norway","NTNU","I conduct research;I develop software for researchers","Biological, mathematical & physical sciences;Engineering & technology","1-5 years","Me;My collaborators/colleagues","Majority of my code is open source","No","","No","Python;Matlab","Linux;Windows","Fixed-term","25 - 34","Male"
"2018/05/09 10:16:47 am EET","Norway","UiT - The Arctic University of Norway","I conduct research;I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","1-5 years","Me;My collaborators/colleagues","All my code is open source","Yes","Yes","No","C/C++","Linux","Fixed-term","25 - 34","Male"
"2018/05/09 10:19:39 am EET","Norway","University of Tromsø","I conduct research;I support researchers;I develop software for researchers","Biological, mathematical & physical sciences;Medicine, dentistry & health","1-5 years","Me;My collaborators/colleagues","Majority of my code is open source","Yes","Yes","Yes","Python;Unix shell scripts;JavaScript;SQL;PHP","Linux;Windows","Fixed-term","25 - 34","Male"
"2018/05/09 10:21:29 am EET","Norway","UiT The Arctic University of Norway","I conduct research;I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","6-10 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Yes","Yes","C/C++;Fortran;Python;Unix shell scripts;JavaScript","Linux","Permanent","35 - 44","Male"
"2018/05/09 10:22:36 am EET","Norway","University of Oslo","I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","16-20 years","Other people","All my code is open source","Yes","Yes","Yes","C/C++;Python;Unix shell scripts;JavaScript;Java;SQL","Linux;macOS","Permanent","35 - 44","Male"
